No.,Lapang usaha,1983 (harga berlaku),1984 (harga berlaku),1985 (harga berlaku),1986 (harga berlaku),1983 (harga konstan),1984 (harga konstan),1985 (harga konstan),1986 (harga konstan)
1,"Pertanian, kehutanan, dan perikanan",17696.2,20333.9,22412.0,24921.6,17696.2,18431.1,19209.0,19687.0
2,"Pertambangan dan penggalian",13967.9,15985.8,15403.6,10740.9,13967.9,14788.7,13980.5,14572.0
3,"Industri pengolahan",8211.3,11081.6,12713.3,13899.9,8211.3,9770.3,10579.1,11161.5
4,"Listrik, gas, dan air minum",524.3,655.2,781.3,858.0,524.3,550.3,594.9,633.7
5,"Bangunan",4597.2,4756.8,5301.8,5242.6,4597.2,4393.8,4508.0,4497.6
6,"Perdagangan",12009.4,13973.5,14561.4,16081.2,12009.4,12159.7,12363.0,12730.3
7,"Pengangkutan dan komunikasi",3978.0,5112.5,6149.0,6392.0,3978.0,4442.4,4881.8,4541.6
8,"Bank dan lembaga keuangan lainnya",2039.2,2691.8,2802.4,3279.5,2039.2,2422.3,2430.6,2558.5
9,"Sewa rumah",1961.8,2275.9,2443.0,2631.5,1961.8,2072.3,2145.2,2220.7
10,"Pemerintah",5711.5,6469.9,7925.1,8307.3,5711.5,5996.7,6438.5,6601.4
11,"Jasa-jasa",3000.8,3717.9,3998.6,4134.8,3000.8,3116.8,3180.2,3270.2
12,"Produk Domestik Bruto",73697.6,87054.8,94491.5,96489.3,73697.6,78144.4,79910.8,82474.5